TREC topic	PMID reference document	PMID to be assessed
100	9482256	7772375
100	9482256	8049351
100	9482256	8158003
100	9482256	9866174
100	9482256	10215040
100	9482256	10649777
100	9482256	10677801
100	9482256	10831279
100	9482256	11023903
100	9482256	11056788
100	9482256	11248893
100	9482256	11772607
100	9482256	12113527
100	9482256	12175426
100	9482256	12483315
100	9482256	12625756
100	9482256	12625756
100	9482256	12625758
100	9482256	12648161
100	9482256	12736680
100	9724707	7880860
100	9724707	8308427
100	9724707	9336174
100	9724707	9460055
100	9724707	9482256
100	9724707	9694712
100	9724707	9724707
100	9724707	10081002
100	9724707	10194562
100	9724707	10831279
100	9724707	11536285
100	9724707	11575795
100	9724707	11575795
100	9724707	11833774
100	9724707	11929609
100	9724707	12099377
100	9724707	12140740
100	9724707	12147133
100	9724707	12194203
100	9724707	12625758
100	10066453	7866872
100	10066453	7873174
100	10066453	8024779
100	10066453	8049351
100	10066453	8158003
100	10066453	8738419
100	10066453	9563509
100	10066453	9845104
100	10066453	9882905
100	10066453	10066453
100	10066453	10081002
100	10066453	10356882
100	10066453	11251180
100	10066453	11593359
100	10066453	11835671
100	10066453	11907835
100	10066453	12147133
100	10066453	12194203
100	10066453	12194203
100	10066453	12565999
100	11023903	7484469
100	11023903	7756542
100	11023903	7873174
100	11023903	8034986
100	11023903	8049351
100	11023903	8660372
100	11023903	8908481
100	11023903	9253793
100	11023903	9482256
100	11023903	9563509
100	11023903	9794503
100	11023903	10649777
100	11023903	11313817
100	11023903	11327800
100	11023903	11327801
100	11023903	12091443
100	11023903	12099377
100	11023903	12140740
100	11023903	12215892
100	11023903	12625756
100	11321159	8049351
100	11321159	9724707
100	11321159	10215040
100	11321159	10329166
100	11321159	11002264
100	11321159	11198481
100	11321159	11301019
100	11321159	11575795
100	11321159	11575795
100	11321159	11772607
100	11321159	12076829
100	11321159	12215892
100	11321159	12378637
100	11321159	12557212
100	11321159	12625758
100	11321159	12625758
100	11321159	12648161
100	11321159	12648161
100	11321159	12915125
100	11321159	14583405
100	11327801	7659501
100	11327801	7772375
100	11327801	8158003
100	11327801	9253165
100	11327801	9311830
100	11327801	9714890
100	11327801	9726926
100	11327801	9973325
100	11327801	10066453
100	11327801	10066453
100	11327801	10211543
100	11327801	11575795
100	11327801	11772607
100	11327801	12147133
100	11327801	12188187
100	11327801	12194203
100	11327801	12215892
100	11327801	12481299
100	11327801	12648161
100	11327801	12648161
100	11575795	7550727
100	11575795	7866872
100	11575795	7873174
100	11575795	8049351
100	11575795	8179876
100	11575795	9397164
100	11575795	9560396
100	11575795	9724707
100	11575795	10649777
100	11575795	10678732
100	11575795	11023903
100	11575795	11088559
100	11575795	11327800
100	11575795	11575795
100	11575795	11835671
100	11575795	12147133
100	11575795	12189529
100	11575795	12553536
100	11575795	12648161
100	11575795	12735313
100	11772607	7484469
100	11772607	7615655
100	11772607	7866872
100	11772607	7873174
100	11772607	9144393
100	11772607	9714890
100	11772607	9724707
100	11772607	9878617
100	11772607	9882905
100	11772607	10397753
100	11772607	10677801
100	11772607	11023903
100	11772607	11575795
100	11772607	11593359
100	11772607	12011227
100	11772607	12100989
100	11772607	12175426
100	11772607	12189529
100	11772607	12215892
100	11772607	12625756
100	12099377	7866872
100	12099377	7887937
100	12099377	9371459
100	12099377	9724707
100	12099377	10228596
100	12099377	10677801
100	12099377	10910160
100	12099377	11002264
100	12099377	11159443
100	12099377	11321159
100	12099377	11593359
100	12099377	11750982
100	12099377	12175426
100	12099377	12194203
100	12099377	12443697
100	12099377	12565999
100	12099377	12565999
100	12099377	12625756
100	12099377	12915125
100	12099377	12915125
100	12147133	7866872
100	12147133	8049351
100	12147133	8528408
100	12147133	9163720
100	12147133	9482256
100	12147133	9563509
100	12147133	9724707
100	12147133	10211543
100	12147133	11088559
100	12147133	11249635
100	12147133	11327800
100	12147133	11357637
100	12147133	11575795
100	12147133	11833774
100	12147133	12147133
100	12147133	12147133
100	12147133	12553536
100	12147133	12625756
100	12147133	12625758
100	12147133	12958445
100	12194203	7620961
100	12194203	7873174
100	12194203	8528412
100	12194203	9482256
100	12194203	9539106
100	12194203	9563509
100	12194203	9563509
100	12194203	9714890
100	12194203	9804885
100	12194203	11833774
100	12194203	11875129
100	12194203	12011227
100	12194203	12099377
100	12194203	12112645
100	12194203	12175426
100	12194203	12215892
100	12194203	12483315
100	12194203	12625759
100	12194203	12648161
100	12194203	14583405
100	12483315	7652510
100	12483315	7659501
100	12483315	8049351
100	12483315	8248193
100	12483315	8867816
100	12483315	9336174
100	12483315	9724707
100	12483315	10066453
100	12483315	11023903
100	12483315	11282460
100	12483315	11327801
100	12483315	12099377
100	12483315	12099377
100	12483315	12112645
100	12483315	12112645
100	12483315	12194203
100	12483315	12215892
100	12483315	12907953
100	12483315	12915125
100	12483315	14521908
100	12565999	8158003
100	12565999	8764686
100	12565999	9336174
100	12565999	9343683
100	12565999	9518614
100	12565999	9663336
100	12565999	9663336
100	12565999	9795248
100	12565999	10081002
100	12565999	10677801
100	12565999	11023903
100	12565999	11159443
100	12565999	11257031
100	12565999	11313815
100	12565999	11772607
100	12565999	12188187
100	12565999	12194203
100	12565999	12625759
100	12565999	12625759
100	12565999	12625759
100	12625756	7772375
100	12625756	7806071
100	12625756	7873174
100	12625756	9482256
100	12625756	9663336
100	12625756	10704667
100	12625756	10726782
100	12625756	10915934
100	12625756	11023903
100	12625756	11023903
100	12625756	11086923
100	12625756	11593359
100	12625756	11772607
100	12625756	11833774
100	12625756	12011227
100	12625756	12147133
100	12625756	12147133
100	12625756	12194203
100	12625756	12194203
100	12625756	12215892
100	12625758	8049351
100	12625758	9336174
100	12625758	9336174
100	12625758	9574721
100	12625758	10910161
100	12625758	10946990
100	12625758	11023903
100	12625758	11321159
100	12625758	11536285
100	12625758	11718193
100	12625758	11833774
100	12625758	11907835
100	12625758	12011227
100	12625758	12011227
100	12625758	12194203
100	12625758	12565999
100	12625758	12625756
100	12625758	12625758
100	12625758	12941161
100	12625758	12941161
100	12625759	7616612
100	12625759	7772375
100	12625759	7866872
100	12625759	7873174
100	12625759	8049351
100	12625759	9253165
100	12625759	9482256
100	12625759	9560396
100	12625759	9563509
100	12625759	9924627
100	12625759	10066453
100	12625759	11088559
100	12625759	11668583
100	12625759	11772607
100	12625759	11772607
100	12625759	12147134
100	12625759	12194203
100	12625759	12223952
100	12625759	12915125
100	12625759	12941161
100	12648161	7552687
100	12648161	7702835
100	12648161	7873174
100	12648161	7873174
100	12648161	8020717
100	12648161	8049351
100	12648161	8061322
100	12648161	8647111
100	12648161	9336174
100	12648161	9336174
100	12648161	9779991
100	12648161	10211543
100	12648161	10228596
100	12648161	10465737
100	12648161	10831279
100	12648161	11159443
100	12648161	11575795
100	12648161	11772607
100	12648161	12215892
100	12648161	12565999
106	7504954	7504954
106	7504954	8036241
106	7504954	8257695
106	7504954	8886973
106	7504954	9395244
106	7504954	10579934
106	7504954	11033083
106	7504954	11106740
106	7504954	11296170
106	7504954	11574687
106	7504954	11673469
106	7504954	11700282
106	7504954	11844796
106	7504954	12055182
106	7504954	12167706
106	7504954	12415115
106	7504954	12500542
106	7504954	12533679
106	7504954	12657609
106	7504954	12799440
106	7903220	9230703
106	7903220	9642275
106	7903220	10591994
106	7903220	10591994
106	7903220	10594348
106	7903220	10801889
106	7903220	10956666
106	7903220	11158302
106	7903220	11164922
106	7903220	11267833
106	7903220	11279041
106	7903220	11355342
106	7903220	11726209
106	7903220	11799066
106	7903220	11865062
106	7903220	11940647
106	7903220	12500542
106	7903220	12562764
106	7903220	12627232
106	7903220	12685742
106	8257695	7730396
106	8257695	8257695
106	8257695	8626478
106	8257695	9212165
106	8257695	9417927
106	8257695	9601011
106	8257695	9815165
106	8257695	10523648
106	8257695	10579484
106	8257695	10982332
106	8257695	11473119
106	8257695	11689684
106	8257695	11726209
106	8257695	12055182
106	8257695	12198550
106	8257695	12527906
106	8257695	12533679
106	8257695	12619716
106	8257695	12791241
106	8257695	14647463
106	8626478	7503181
106	8626478	7891290
106	8626478	8306968
106	8626478	9358188
106	8626478	9601011
106	8626478	9642275
106	8626478	10931841
106	8626478	11245435
106	8626478	11726209
106	8626478	11813249
106	8626478	11813249
106	8626478	11813249
106	8626478	11821378
106	8626478	11884609
106	8626478	12004059
106	8626478	12023811
106	8626478	12153140
106	8626478	12527906
106	8626478	12619716
106	8626478	12799440
106	8902805	7504954
106	8902805	10075735
106	8902805	10579938
106	8902805	10580997
106	8902805	10759893
106	8902805	11238381
106	8902805	11279041
106	8902805	11309512
106	8902805	11313463
106	8902805	11680700
106	8902805	11865062
106	8902805	11940647
106	8902805	12127990
106	8902805	12415115
106	8902805	12619716
106	8902805	12627232
106	8902805	12724208
106	8902805	12887907
106	8902805	12897158
106	8902805	13678919
106	8993033	8250225
106	8993033	8520086
106	8993033	8524231
106	8993033	8588455
106	8993033	8599938
106	8993033	8858134
106	8993033	8939603
106	8993033	9169194
106	8993033	9169194
106	8993033	9740716
106	8993033	10841543
106	8993033	10956666
106	8993033	11230169
106	8993033	11676976
106	8993033	11713309
106	8993033	11884609
106	8993033	12032298
106	8993033	12415115
106	8993033	12629508
106	8993033	12887907
106	8993035	8626478
106	8993035	9099751
106	8993035	9251035
106	8993035	10093935
106	8993035	10465765
106	8993035	10499801
106	8993035	10591994
106	8993035	10804513
106	8993035	11278346
106	8993035	11682627
106	8993035	11799066
106	8993035	12004060
106	8993035	12004060
106	8993035	12054903
106	8993035	12054904
106	8993035	12167706
106	8993035	12167709
106	8993035	12424244
106	8993035	12618455
106	8993035	12629508
106	9099751	7637960
106	9099751	7903220
106	9099751	9056206
106	9099751	9882682
106	9099751	10036140
106	9099751	10465765
106	9099751	10515209
106	9099751	10594348
106	9099751	10707833
106	9099751	11355342
106	9099751	11564866
106	9099751	11682627
106	9099751	11867748
106	9099751	12054903
106	9099751	12054903
106	9099751	12198550
106	9099751	12213815
106	9099751	12364596
106	9099751	12533679
106	9099751	12533679
106	9169194	7504954
106	9169194	7859149
106	9169194	7903220
106	9169194	7903220
106	9169194	9443820
106	9169194	10218619
106	9169194	10498903
106	9169194	10498903
106	9169194	10499801
106	9169194	11254108
106	9169194	11473119
106	9169194	11517328
106	9169194	11813249
106	9169194	11865062
106	9169194	12417704
106	9169194	12490152
106	9169194	12490953
106	9169194	12629508
106	9169194	12887907
106	9169194	14647463
106	9230703	7933113
106	9230703	8902805
106	9230703	8980231
106	9230703	10333179
106	9230703	10372377
106	9230703	10841543
106	9230703	10889043
106	9230703	11094072
106	9230703	11114889
106	9230703	11253058
106	9230703	11313463
106	9230703	11680700
106	9230703	12054904
106	9230703	12127990
106	9230703	12409468
106	9230703	12528897
106	9230703	12624958
106	9230703	12627232
106	9230703	12695333
106	9230703	12819204
106	9358188	7504954
106	9358188	8626478
106	9358188	8682808
106	9358188	10372368
106	9358188	10498903
106	9358188	10499801
106	9358188	10619130
106	9358188	10982332
106	9358188	11239001
106	9358188	11313463
106	9358188	11726209
106	9358188	11726209
106	9358188	11865062
106	9358188	12004060
106	9358188	12052885
106	9358188	12054899
106	9358188	12054904
106	9358188	12490953
106	9358188	12620799
106	9358188	14581449
106	9601011	8605878
106	9601011	8858134
106	9601011	9576905
106	9601011	10372386
106	9601011	10579938
106	9601011	10962580
106	9601011	11033083
106	9601011	11266125
106	9601011	11313463
106	9601011	11583633
106	9601011	11680700
106	9601011	11752617
106	9601011	11954959
106	9601011	12054902
106	9601011	12127990
106	9601011	12364596
106	9601011	12562764
106	9601011	12619716
106	9601011	12740577
106	9601011	12887907
106	9642275	8993033
106	9642275	9099751
106	9642275	9148910
106	9642275	9169193
106	9642275	9169194
106	9642275	9169194
106	9642275	9446625
106	9642275	9642275
106	9642275	10075735
106	9642275	10319848
106	9642275	10471736
106	9642275	10654939
106	9642275	10962580
106	9642275	11094072
106	9642275	11106744
106	9642275	11799066
106	9642275	11809796
106	9642275	12415115
106	9642275	12618455
106	9642275	12629508
106	10372380	7606213
106	10372380	7998335
106	10372380	8729072
106	10372380	9256417
106	10372380	9417927
106	10372380	9508309
106	10372380	9642275
106	10372380	10479622
106	10372380	10498903
106	10372380	11033083
106	10372380	11138610
106	10372380	11564866
106	10372380	11842291
106	10372380	12004060
106	10372380	12054903
106	10372380	12490152
106	10372380	12490953
106	10372380	12527906
106	10372380	12857954
106	10372380	14581449
106	10498903	7859831
106	10498903	8993033
106	10498903	9011864
106	10498903	9148910
106	10498903	9169194
106	10498903	9169194
106	10498903	9461459
106	10498903	9733749
106	10498903	11266453
106	10498903	11564866
106	10498903	11673469
106	10498903	11730344
106	10498903	11752617
106	10498903	11799066
106	10498903	12000849
106	10498903	12032298
106	10498903	12054904
106	10498903	12127990
106	10498903	12600448
106	10498903	12805369
106	10579938	7903220
106	10579938	8255779
106	10579938	8902805
106	10579938	8902805
106	10579938	9115430
106	10579938	9601011
106	10579938	10372368
106	10579938	10751148
106	10579938	10841543
106	10579938	10882726
106	10579938	11006266
106	10579938	11253058
106	10579938	11571307
106	10579938	12000849
106	10579938	12101404
106	10579938	12527906
106	10579938	12629508
106	10579938	12685742
106	10579938	12789273
106	10579938	14521963
106	10591994	9099751
106	10591994	9099751
106	10591994	9230703
106	10591994	9733749
106	10591994	10498903
106	10591994	10541550
106	10591994	11230169
106	10591994	11238381
106	10591994	11267833
106	10591994	11726209
106	10591994	11730344
106	10591994	11745577
106	10591994	11799066
106	10591994	11981037
106	10591994	12419248
106	10591994	12522000
106	10591994	12766778
106	10591994	12766778
106	10591994	12887906
106	10591994	14581449
106	11033083	7919585
106	11033083	8993035
106	11033083	8993035
106	11033083	9358188
106	11033083	9449338
106	11033083	10190109
106	11033083	10619601
106	11033083	10888617
106	11033083	11113195
106	11033083	11230169
106	11033083	11680700
106	11033083	12054904
106	11033083	12167706
106	11033083	12198165
106	11033083	12198550
106	11033083	12500542
106	11033083	12626549
106	11033083	12629508
106	11033083	12740381
106	11033083	14521963
106	11230169	7765058
106	11230169	8524231
106	11230169	8993033
106	11230169	9169194
106	11230169	9547290
106	11230169	9733749
106	11230169	10574969
106	11230169	10591994
106	11230169	10619601
106	11230169	10841543
106	11230169	11179222
106	11230169	11272471
106	11230169	11313463
106	11230169	11511539
106	11230169	11564866
106	11230169	11564866
106	11230169	12237417
106	11230169	12627232
106	11230169	12821939
106	11230169	14581449
106	11313463	7504954
106	11313463	9610644
106	11313463	9817169
106	11313463	10591994
106	11313463	10982332
106	11313463	11024025
106	11313463	11085656
106	11313463	11313463
106	11313463	11564866
106	11313463	11673469
106	11313463	11746507
106	11313463	11844796
106	11313463	12000849
106	11313463	12054902
106	11313463	12054902
106	11313463	12417704
106	11313463	12562764
106	11313463	12606119
106	11313463	12695333
106	11313463	12887907
106	11564866	8185900
106	11564866	9099751
106	11564866	9172387
106	11564866	9230703
106	11564866	9312024
106	11564866	9442103
106	11564866	9461459
106	11564866	9461459
106	11564866	10519118
106	11564866	10519118
106	11564866	11033083
106	11564866	11230169
106	11564866	11726209
106	11564866	11813249
106	11564866	12054902
106	11564866	12167706
106	11564866	12167709
106	11564866	12415115
106	11564866	12627232
106	11564866	12805369
106	11680700	8886984
106	11680700	8993033
106	11680700	8993035
106	11680700	9278053
106	11680700	9364931
106	11680700	10372380
106	11680700	10669725
106	11680700	10772872
106	11680700	10962580
106	11680700	10962580
106	11680700	11253058
106	11680700	11376162
106	11680700	11399075
106	11680700	11752617
106	11680700	12054903
106	11680700	12127990
106	11680700	12536523
106	11680700	12624958
106	11680700	12695333
106	11680700	12857954
106	11726209	7844521
106	11726209	9023118
106	11726209	9358188
106	11726209	9446625
106	11726209	9567200
106	11726209	10372380
106	11726209	10499801
106	11726209	11385626
106	11726209	11562464
106	11726209	11680700
106	11726209	11752617
106	11726209	12000849
106	11726209	12006616
106	11726209	12054904
106	11726209	12149244
106	11726209	12153140
106	11726209	12446763
106	11726209	12620799
106	11726209	12923186
106	11726209	14521963
106	11752617	7903220
106	11752617	8037891
106	11752617	8204594
106	11752617	8890635
106	11752617	9062987
106	11752617	9312024
106	11752617	9358188
106	11752617	10075891
106	11752617	10362684
106	11752617	10579484
106	11752617	10579938
106	11752617	10962580
106	11752617	11230169
106	11752617	11253058
106	11752617	11349159
106	11752617	12000849
106	11752617	12417732
106	11752617	12426319
106	11752617	12600448
106	11752617	12821939
106	11799066	8886984
106	11799066	9115430
106	11799066	9601011
106	11799066	9642275
106	11799066	10075891
106	11799066	10372368
106	11799066	10429254
106	11799066	10541550
106	11799066	10619601
106	11799066	11209047
106	11799066	11562464
106	11799066	11799066
106	11799066	12054902
106	11799066	12054903
106	11799066	12055182
106	11799066	12055182
106	11799066	12533679
106	11799066	12533679
106	11799066	12562764
106	11799066	12887907
106	12000849	7504954
106	12000849	7859149
106	12000849	8687393
106	12000849	9062987
106	12000849	9230703
106	12000849	9358188
106	12000849	9601011
106	12000849	9892496
106	12000849	10372386
106	12000849	10498903
106	12000849	10594348
106	12000849	10654939
106	12000849	11253058
106	12000849	11279041
106	12000849	11809796
106	12000849	12370086
106	12000849	12417704
106	12000849	12629508
106	12000849	12727200
106	12000849	14581449
106	12054902	8257695
106	12054902	9664448
106	12054902	10471736
106	12054902	10498903
106	12054902	11113195
106	12054902	11238381
106	12054902	11313463
106	12054902	11604407
106	12054902	11713309
106	12054902	11799066
106	12054902	11950942
106	12054902	12054902
106	12054902	12167706
106	12054902	12364596
106	12054902	12618455
106	12054902	12695333
106	12054902	12826398
106	12054902	12897158
106	12054902	14521963
106	12054902	14521963
106	12054903	9279386
106	12054903	9358188
106	12054903	9570398
106	12054903	10471736
106	12054903	10888617
106	12054903	11033083
106	12054903	11158302
106	12054903	11408875
106	12054903	11596921
106	12054903	11842291
106	12054903	11867748
106	12054903	11953323
106	12054903	11981037
106	12054903	12054902
106	12054903	12054904
106	12054903	12097194
106	12054903	12415115
106	12054903	12527906
106	12054903	12562764
106	12054903	12629508
106	12054904	7614681
106	12054904	8816234
106	12054904	8902805
106	12054904	9169194
106	12054904	9461448
106	12054904	9461459
106	12054904	10372386
106	12054904	10523648
106	12054904	10588233
106	12054904	10942306
106	12054904	10947120
106	12054904	11033083
106	12054904	11313463
106	12054904	11682627
106	12054904	11940647
106	12054904	11940647
106	12054904	12052885
106	12054904	12054903
106	12054904	12417704
106	12054904	12562764
106	12153140	8034988
106	12153140	8166201
106	12153140	8519984
106	12153140	8650542
106	12153140	9251035
106	12153140	9358188
106	12153140	10209116
106	12153140	10591994
106	12153140	10591994
106	12153140	11604407
106	12153140	11746496
106	12153140	11751634
106	12153140	12000849
106	12153140	12000849
106	12153140	12004060
106	12153140	12426319
106	12153140	12618455
106	12153140	12805369
106	12153140	12887906
106	12153140	12887906
106	12415115	7517679
106	12415115	7621866
106	12415115	7903220
106	12415115	7919585
106	12415115	7980924
106	12415115	8974015
106	12415115	8993033
106	12415115	9358188
106	12415115	10319870
106	12415115	10465765
106	12415115	11275546
106	12415115	11511539
106	12415115	11564866
106	12415115	11813249
106	12415115	11844796
106	12415115	12424244
106	12415115	12533679
106	12415115	12624958
106	12415115	12660172
106	12415115	12695333
106	12500542	8619478
106	12500542	8858134
106	12500542	8993033
106	12500542	8993033
106	12500542	9016770
106	12500542	9256417
106	12500542	11517328
106	12500542	11551498
106	12500542	11813249
106	12500542	12054904
106	12500542	12087101
106	12500542	12101404
106	12500542	12205999
106	12500542	12370086
106	12500542	12415115
106	12500542	12581157
106	12500542	12620799
106	12500542	12627232
106	12500542	12789273
106	12500542	14521963
106	12527906	7903220
106	12527906	8886984
106	12527906	9099751
106	12527906	9230703
106	12527906	9417927
106	12527906	10499801
106	12527906	10594348
106	12527906	10722661
106	12527906	10723176
106	12527906	11253058
106	12527906	11313463
106	12527906	11349159
106	12527906	11564866
106	12527906	11604407
106	12527906	12000849
106	12527906	12006616
106	12527906	12052885
106	12527906	12054904
106	12527906	12417704
106	12527906	12629508
106	12533679	8134115
106	12533679	8264599
106	12533679	8993033
106	12533679	9230703
106	12533679	9417927
106	12533679	9461459
106	12533679	10498903
106	12533679	10956666
106	12533679	11255147
106	12533679	11752617
106	12533679	11867748
106	12533679	12415115
106	12533679	12500542
106	12533679	12500542
106	12533679	12500542
106	12533679	12600448
106	12533679	12695333
106	12533679	12819204
106	12533679	12897158
106	12533679	12897158
106	12562764	7935476
106	12562764	8626478
106	12562764	8886758
106	12562764	8952391
106	12562764	8961565
106	12562764	9099751
106	12562764	9601011
106	12562764	9733749
106	12562764	10432579
106	12562764	10581238
106	12562764	11230169
106	12562764	11303202
106	12562764	11313463
106	12562764	11517328
106	12562764	12153140
106	12562764	12490953
106	12562764	12629508
106	12562764	12789273
106	12562764	12890680
106	12562764	12923186
106	12600448	8993033
106	12600448	9099751
106	12600448	9169194
106	12600448	9222095
106	12600448	9689592
106	12600448	10581235
106	12600448	10962580
106	12600448	11033083
106	12600448	11309512
106	12600448	11313463
106	12600448	11564866
106	12600448	11746507
106	12600448	11752617
106	12600448	11909857
106	12600448	12198550
106	12600448	12228709
106	12600448	12500542
106	12600448	12562764
106	12600448	12789273
106	12600448	12897158
106	12618455	7504954
106	12618455	9230703
106	12618455	9271422
106	12618455	10499801
106	12618455	11179222
106	12618455	11230169
106	12618455	11388809
106	12618455	11517328
106	12618455	11564866
106	12618455	11680700
106	12618455	11689684
106	12618455	12023811
106	12618455	12153140
106	12618455	12509425
106	12618455	12618455
106	12618455	12626549
106	12618455	12629508
106	12618455	12660172
106	12618455	12791241
106	12618455	13678919
106	12624958	7549193
106	12624958	8921387
106	12624958	9230703
106	12624958	9312024
106	12624958	10498903
106	12624958	10519118
106	12624958	10579938
106	12624958	10619601
106	12624958	11279041
106	12624958	11799066
106	12624958	11809796
106	12624958	11867748
106	12624958	11934077
106	12624958	12167706
106	12624958	12527906
106	12624958	12533679
106	12624958	12618455
106	12624958	12629508
106	12624958	12629508
106	12624958	12923186
106	12627232	7504954
106	12627232	7827100
106	12627232	7903220
106	12627232	7903220
106	12627232	8257695
106	12627232	9358188
106	12627232	9601011
106	12627232	10841543
106	12627232	10962580
106	12627232	11138610
106	12627232	11230169
106	12627232	11253058
106	12627232	11673469
106	12627232	11842291
106	12627232	11879731
106	12627232	12409468
106	12627232	12562764
106	12627232	12619716
106	12627232	12799440
106	12627232	12890680
106	12629508	7554047
106	12629508	8083303
106	12629508	8257695
106	12629508	8858134
106	12629508	9169189
106	12629508	9230703
106	12629508	9733749
106	12629508	10075891
106	12629508	10805181
106	12629508	11114889
106	12629508	11564866
106	12629508	11680700
106	12629508	11792803
106	12629508	11940647
106	12629508	12234831
106	12629508	12244572
106	12629508	12509425
106	12629508	12527906
106	12629508	12600448
106	12629508	12890680
106	12799440	7568143
106	12799440	8902805
106	12799440	8993038
106	12799440	9099751
106	12799440	9279381
106	12799440	9396821
106	12799440	9492263
106	12799440	9642275
106	12799440	10075735
106	12799440	10408173
106	12799440	10498903
106	12799440	10579938
106	12799440	10997781
106	12799440	11385626
106	12799440	11420718
106	12799440	11517328
106	12799440	12426319
106	12799440	12533679
106	12799440	12624958
106	12799440	12821939
106	12887906	7504954
106	12887906	7989436
106	12887906	8520086
106	12887906	8770495
106	12887906	8993033
106	12887906	9417927
106	12887906	9601011
106	12887906	10372386
106	12887906	10523648
106	12887906	10579938
106	12887906	11266125
106	12887906	11405491
106	12887906	11473119
106	12887906	11564866
106	12887906	11596921
106	12887906	11604407
106	12887906	11752617
106	12887906	12055182
106	12887906	12490953
106	12887906	12821939
106	12887907	7827100
106	12887907	8107104
106	12887907	8114727
106	12887907	8588455
106	12887907	8902805
106	12887907	8902805
106	12887907	10319848
106	12887907	10679327
106	12887907	10884300
106	12887907	11033083
106	12887907	11092552
106	12887907	11473119
106	12887907	11867748
106	12887907	11993937
106	12887907	12052885
106	12887907	12054903
106	12887907	12198550
106	12887907	12417732
106	12887907	12799440
106	12887907	12887906
106	14521963	8626478
106	14521963	8858134
106	14521963	9031508
106	14521963	9204873
106	14521963	9473485
106	14521963	10319848
106	14521963	10594348
106	14521963	10801889
106	14521963	10804514
106	14521963	11238381
106	14521963	11313463
106	14521963	11726209
106	14521963	11954959
106	14521963	12000849
106	14521963	12032298
106	14521963	12054902
106	14521963	12198165
106	14521963	12629508
106	14521963	14521963
106	14521963	14581449
113	7837983	7837983
113	7837983	8591738
113	7837983	9469125
113	7837983	9653450
113	7837983	9653450
113	7837983	10526212
113	7837983	10794173
113	7837983	10880451
113	7837983	10880470
113	7837983	10880470
113	7837983	10880470
113	7837983	11456202
113	7837983	11460167
113	7837983	11460167
113	7837983	11522817
113	7837983	11522817
113	7837983	11917106
113	7837983	12460218
113	7837983	14562038
113	7837983	14562038
113	9653450	8005829
113	9653450	8683298
113	9653450	10688907
113	9653450	10880451
113	9653450	10880470
113	9653450	10880470
113	9653450	10880470
113	9653450	10924462
113	9653450	11406273
113	9653450	11406273
113	9653450	11460167
113	9653450	11460167
113	9653450	11522817
113	9653450	11522817
113	9653450	11522817
113	9653450	11522817
113	9653450	11712289
113	9653450	12509272
113	9653450	14562038
113	9653450	14562038
113	9705497	7507033
113	9705497	9149035
113	9705497	9653450
113	9705497	9653450
113	9705497	10526212
113	9705497	10794173
113	9705497	10880451
113	9705497	10880470
113	9705497	10880470
113	9705497	11406273
113	9705497	11460167
113	9705497	11460167
113	9705497	11460167
113	9705497	11460167
113	9705497	11504715
113	9705497	11522817
113	9705497	11805321
113	9705497	11917106
113	9705497	14562038
113	9705497	14562038
113	10526212	7525755
113	10526212	7925526
113	10526212	9653450
113	10526212	9653450
113	10526212	9653450
113	10526212	9705497
113	10526212	10794173
113	10526212	10880451
113	10526212	10924462
113	10526212	11406273
113	10526212	11460167
113	10526212	11522817
113	10526212	11917106
113	10526212	11917106
113	10526212	11917106
